Reading in data from ../common/honeycomb.input
Number of particles: 192
Number of vertices: 3
xmin -10.455 xmax 9.225
ymin -13.58 ymax 9.7
Found 192 particles with maximum number of 3 vertices
Created simulation cell 19.68 by 23.28


Starting ACO with 32 ants 8 threads  alpha=1.0 beta=2.0 evap=0.9
Step 1/200 best energy 7796.152999999997 ant 16 missing vert 0.0
Step 2/200 best energy 3642.1159999999995 ant 12 missing vert 0.0
Step 3/200 best energy 2486.435200000002 ant 5 missing vert 0.0
Step 4/200 best energy 2093.5006000000044 ant 24 missing vert 0.0
Step 5/200 best energy 1690.6332000000025 ant 29 missing vert 0.0
Step 6/200 best energy 1548.254000000003 ant 5 missing vert 0.0
Step 7/200 best energy 1203.7684000000036 ant 10 missing vert 0.0
Step 8/200 best energy 1190.4530000000036 ant 11 missing vert 0.0
Step 9/200 best energy 1309.9324000000038 ant 24 missing vert 0.0
Step 10/200 best energy 1298.1204000000046 ant 14 missing vert 0.0
Step 11/200 best energy 1190.0392000000033 ant 23 missing vert 0.0
Step 12/200 best energy 1197.1910000000041 ant 18 missing vert 0.0
Step 13/200 best energy 1014.8154000000046 ant 28 missing vert 0.0
Step 14/200 best energy 1046.9616000000026 ant 6 missing vert 0.0
Step 15/200 best energy 1037.7338000000034 ant 7 missing vert 0.0
Step 16/200 best energy 1005.6086000000038 ant 22 missing vert 0.0
Step 17/200 best energy 961.7424000000036 ant 13 missing vert 0.0
Step 18/200 best energy 923.2010000000022 ant 17 missing vert 0.0
Step 19/200 best energy 924.2116000000022 ant 6 missing vert 0.0
Step 20/200 best energy 920.6192000000026 ant 21 missing vert 0.0
Step 21/200 best energy 888.9764000000022 ant 31 missing vert 0.0
Step 22/200 best energy 810.3652000000017 ant 30 missing vert 0.0
Step 23/200 best energy 824.9462000000026 ant 23 missing vert 0.0
Step 24/200 best energy 857.2964000000024 ant 15 missing vert 0.0
Step 25/200 best energy 964.6274000000033 ant 11 missing vert 0.0
Step 26/200 best energy 884.3330000000029 ant 29 missing vert 0.0
Step 27/200 best energy 809.2078000000017 ant 6 missing vert 0.0
Step 28/200 best energy 907.2804000000028 ant 13 missing vert 0.0
Step 29/200 best energy 827.8998000000026 ant 4 missing vert 0.0
Step 30/200 best energy 852.7402000000038 ant 14 missing vert 0.0
Step 31/200 best energy 759.9360000000006 ant 5 missing vert 0.0
Step 32/200 best energy 782.9754000000025 ant 18 missing vert 0.0
Step 33/200 best energy 758.0616000000016 ant 30 missing vert 0.0
Step 34/200 best energy 830.6002000000024 ant 22 missing vert 0.0
Step 35/200 best energy 718.5734000000008 ant 31 missing vert 0.0
Step 36/200 best energy 813.3850000000019 ant 10 missing vert 0.0
Step 37/200 best energy 750.829200000002 ant 19 missing vert 0.0
Step 38/200 best energy 801.911000000002 ant 19 missing vert 0.0
Step 39/200 best energy 628.9334000000001 ant 3 missing vert 0.0
Step 40/200 best energy 769.549400000002 ant 5 missing vert 0.0
Step 41/200 best energy 769.1542000000013 ant 24 missing vert 0.0
Step 42/200 best energy 752.7884000000025 ant 5 missing vert 0.0
Step 43/200 best energy 759.0198000000017 ant 11 missing vert 0.0
Step 44/200 best energy 780.2726000000017 ant 2 missing vert 0.0
Step 45/200 best energy 720.3510000000022 ant 11 missing vert 0.0
Step 46/200 best energy 669.9904 ant 24 missing vert 0.0
Step 47/200 best energy 707.0170000000013 ant 20 missing vert 0.0
Step 48/200 best energy 744.4930000000015 ant 6 missing vert 0.0
Step 49/200 best energy 786.5492000000027 ant 14 missing vert 0.0
Step 50/200 best energy 835.4048000000025 ant 23 missing vert 0.0
Step 51/200 best energy 777.6126000000023 ant 18 missing vert 0.0
Step 52/200 best energy 771.8804000000011 ant 22 missing vert 0.0
Step 53/200 best energy 682.5646000000011 ant 9 missing vert 0.0
Step 54/200 best energy 675.1830000000011 ant 0 missing vert 0.0
Step 55/200 best energy 718.0862000000017 ant 30 missing vert 0.0
Step 56/200 best energy 744.8720000000014 ant 10 missing vert 0.0
Step 57/200 best energy 645.9308000000002 ant 17 missing vert 0.0
Step 58/200 best energy 673.7110000000014 ant 20 missing vert 0.0
Step 59/200 best energy 761.9404000000023 ant 22 missing vert 0.0
Step 60/200 best energy 647.6302000000003 ant 30 missing vert 0.0
Step 61/200 best energy 691.6384000000014 ant 9 missing vert 0.0
Step 62/200 best energy 697.6118000000009 ant 2 missing vert 0.0
Step 63/200 best energy 702.343000000001 ant 0 missing vert 0.0
Step 64/200 best energy 645.3178000000007 ant 28 missing vert 0.0
Step 65/200 best energy 672.1560000000009 ant 28 missing vert 0.0
Step 66/200 best energy 677.1236000000015 ant 29 missing vert 0.0
Step 67/200 best energy 772.4748000000026 ant 29 missing vert 0.0
Step 68/200 best energy 675.1072000000011 ant 29 missing vert 0.0
Step 69/200 best energy 667.5812000000005 ant 12 missing vert 0.0
Step 70/200 best energy 607.6072 ant 22 missing vert 0.0
Step 71/200 best energy 614.1960000000003 ant 21 missing vert 0.0
Step 72/200 best energy 683.866400000001 ant 13 missing vert 0.0
