Reading in data from ../common/honeycomb.input
Number of particles: 192
Number of vertices: 3
xmin -10.455 xmax 9.225
ymin -13.58 ymax 9.7
Found 192 particles with maximum number of 3 vertices
Created simulation cell 19.68 by 23.28


Starting ACO with 32 ants 8 threads  alpha=1.0 beta=2.0 evap=0.9
Step 1/200 best energy 7545.0594000000065 ant 25 missing vert 0.0
Step 2/200 best energy 6928.054400000005 ant 10 missing vert 0.0
Step 3/200 best energy 5985.348600000006 ant 26 missing vert 0.0
Step 4/200 best energy 6020.405400000005 ant 28 missing vert 0.0
Step 5/200 best energy 5733.908000000003 ant 13 missing vert 0.0
Step 6/200 best energy 5624.046400000002 ant 11 missing vert 0.0
Step 7/200 best energy 4860.0542000000005 ant 10 missing vert 0.0
Step 8/200 best energy 4435.053400000003 ant 5 missing vert 0.0
Step 9/200 best energy 4146.638800000001 ant 19 missing vert 0.0
Step 10/200 best energy 4166.403399999999 ant 23 missing vert 0.0
Step 11/200 best energy 3965.8554 ant 19 missing vert 0.0
Step 12/200 best energy 3632.1398000000004 ant 29 missing vert 0.0
Step 13/200 best energy 3726.7392 ant 12 missing vert 0.0
Step 14/200 best energy 2918.1920000000023 ant 23 missing vert 0.0
Step 15/200 best energy 3086.8030000000012 ant 1 missing vert 0.0
Step 16/200 best energy 2712.848000000003 ant 30 missing vert 0.0
Step 17/200 best energy 2722.6760000000027 ant 21 missing vert 0.0
Step 18/200 best energy 2536.9782000000027 ant 31 missing vert 0.0
Step 19/200 best energy 2188.7002000000025 ant 28 missing vert 0.0
Step 20/200 best energy 2275.3132000000014 ant 17 missing vert 0.0
Step 21/200 best energy 2033.446000000003 ant 14 missing vert 0.0
Step 22/200 best energy 2099.5402000000036 ant 12 missing vert 0.0
Step 23/200 best energy 1879.112800000004 ant 30 missing vert 0.0
Step 24/200 best energy 1658.3120000000038 ant 23 missing vert 0.0
Step 25/200 best energy 1778.1432000000038 ant 12 missing vert 0.0
Step 26/200 best energy 1698.2140000000031 ant 0 missing vert 0.0
Step 27/200 best energy 1655.301200000003 ant 0 missing vert 0.0
Step 28/200 best energy 1612.205400000002 ant 0 missing vert 0.0
Step 29/200 best energy 1348.9448000000034 ant 20 missing vert 0.0
Step 30/200 best energy 1395.6058000000044 ant 31 missing vert 0.0
Step 31/200 best energy 1388.9936000000039 ant 12 missing vert 0.0
Step 32/200 best energy 1177.015000000004 ant 29 missing vert 0.0
Step 33/200 best energy 1388.7920000000029 ant 4 missing vert 0.0
Step 34/200 best energy 1195.8868000000036 ant 16 missing vert 0.0
Step 35/200 best energy 1244.4988000000035 ant 22 missing vert 0.0
Step 36/200 best energy 1125.1066000000037 ant 2 missing vert 0.0
Step 37/200 best energy 1037.1232000000034 ant 10 missing vert 0.0
Step 38/200 best energy 1059.9262000000037 ant 16 missing vert 0.0
Step 39/200 best energy 1119.5122000000047 ant 1 missing vert 0.0
Step 40/200 best energy 978.8156000000027 ant 7 missing vert 0.0
Step 41/200 best energy 1064.2712000000033 ant 2 missing vert 0.0
Step 42/200 best energy 1111.1362000000058 ant 12 missing vert 0.0
Step 43/200 best energy 1061.4006000000027 ant 21 missing vert 0.0
Step 44/200 best energy 1005.2844000000022 ant 23 missing vert 0.0
Step 45/200 best energy 1041.2084000000043 ant 12 missing vert 0.0
Step 46/200 best energy 1011.3336000000029 ant 27 missing vert 0.0
Step 47/200 best energy 995.0322000000024 ant 21 missing vert 0.0
Step 48/200 best energy 952.9098000000024 ant 30 missing vert 0.0
Step 49/200 best energy 985.8020000000035 ant 16 missing vert 0.0
Step 50/200 best energy 851.7110000000024 ant 11 missing vert 0.0
Step 51/200 best energy 880.8898000000027 ant 24 missing vert 0.0
Step 52/200 best energy 956.0884000000028 ant 31 missing vert 0.0
Step 53/200 best energy 963.4676000000036 ant 31 missing vert 0.0
Step 54/200 best energy 879.7300000000039 ant 29 missing vert 0.0
Step 55/200 best energy 967.3512000000019 ant 12 missing vert 0.0
Step 56/200 best energy 917.5898000000017 ant 5 missing vert 0.0
Step 57/200 best energy 958.8880000000024 ant 27 missing vert 0.0
Step 58/200 best energy 799.4122000000023 ant 13 missing vert 0.0
Step 59/200 best energy 830.9768000000022 ant 4 missing vert 0.0
Step 60/200 best energy 798.1814000000022 ant 24 missing vert 0.0
Step 61/200 best energy 692.4264000000014 ant 6 missing vert 0.0
Step 62/200 best energy 829.4500000000022 ant 17 missing vert 0.0
Step 63/200 best energy 888.356200000002 ant 16 missing vert 0.0
Step 64/200 best energy 849.6350000000025 ant 0 missing vert 0.0
Step 65/200 best energy 849.4696000000035 ant 25 missing vert 0.0
Step 66/200 best energy 783.8158000000018 ant 9 missing vert 0.0
Step 67/200 best energy 874.606000000003 ant 31 missing vert 0.0
Step 68/200 best energy 870.2586000000017 ant 26 missing vert 0.0
Step 69/200 best energy 769.3010000000024 ant 26 missing vert 0.0
Step 70/200 best energy 839.9724000000032 ant 24 missing vert 0.0
Step 71/200 best energy 687.6718000000012 ant 18 missing vert 0.0
Step 72/200 best energy 799.8050000000019 ant 12 missing vert 0.0
Step 73/200 best energy 706.5984000000019 ant 23 missing vert 0.0
Step 74/200 best energy 739.1922000000017 ant 10 missing vert 0.0
Step 75/200 best energy 712.0532000000012 ant 16 missing vert 0.0
Step 76/200 best energy 757.6616000000018 ant 10 missing vert 0.0
Step 77/200 best energy 600.3013999999998 ant 12 missing vert 0.0
Step 78/200 best energy 701.4792000000016 ant 7 missing vert 0.0
Step 79/200 best energy 622.8060000000005 ant 20 missing vert 0.0
Step 80/200 best energy 650.0394000000007 ant 13 missing vert 0.0
Step 81/200 best energy 595.2556 ant 26 missing vert 0.0
Step 82/200 best energy 665.0204000000014 ant 23 missing vert 0.0
Step 83/200 best energy 557.0029999999994 ant 2 missing vert 0.0
Step 84/200 best energy 606.6700000000003 ant 18 missing vert 0.0
Step 85/200 best energy 708.4656000000011 ant 2 missing vert 0.0
Step 86/200 best energy 641.5052000000005 ant 2 missing vert 0.0
Step 87/200 best energy 669.9856000000011 ant 25 missing vert 0.0
Step 88/200 best energy 608.8356000000005 ant 11 missing vert 0.0
Step 89/200 best energy 573.6075999999997 ant 27 missing vert 0.0
Step 90/200 best energy 549.4745999999993 ant 31 missing vert 0.0
Step 91/200 best energy 558.5531999999994 ant 17 missing vert 0.0
Step 92/200 best energy 562.0463999999995 ant 0 missing vert 0.0
Step 93/200 best energy 549.4745999999993 ant 11 missing vert 0.0
Step 94/200 best energy 569.1061999999997 ant 10 missing vert 0.0
