Reading in data from ../common/honeycomb.input
Number of particles: 192
Number of vertices: 3
xmin -10.455 xmax 9.225
ymin -13.58 ymax 9.7
Found 192 particles with maximum number of 3 vertices
Created simulation cell 19.68 by 23.28


Starting ACO with 32 ants 8 threads  alpha=1.0 beta=2.0 evap=0.9
Using Scaled Preprocessor
Step 1/200 best energy 2639.6748000000025 ant 10 missing vert 0.0
Step 2/200 best energy 1998.835800000002 ant 15 missing vert 0.0
Step 3/200 best energy 1606.8270000000034 ant 7 missing vert 0.0
Step 4/200 best energy 1356.6902000000025 ant 1 missing vert 0.0
Step 5/200 best energy 1183.487600000003 ant 12 missing vert 0.0
Step 6/200 best energy 1190.9926000000032 ant 31 missing vert 0.0
Step 7/200 best energy 1186.6404000000039 ant 2 missing vert 0.0
Step 8/200 best energy 1099.5040000000035 ant 3 missing vert 0.0
Step 9/200 best energy 1090.3520000000042 ant 20 missing vert 0.0
Step 10/200 best energy 1254.9074000000032 ant 23 missing vert 0.0
Step 11/200 best energy 983.125000000003 ant 18 missing vert 0.0
Step 12/200 best energy 1007.7194000000037 ant 17 missing vert 0.0
Step 13/200 best energy 1086.7030000000032 ant 9 missing vert 0.0
Step 14/200 best energy 943.9400000000023 ant 12 missing vert 0.0
Step 15/200 best energy 898.6728000000036 ant 25 missing vert 0.0
Step 16/200 best energy 879.6800000000023 ant 7 missing vert 0.0
Step 17/200 best energy 847.0838000000028 ant 14 missing vert 0.0
Step 18/200 best energy 906.5044000000037 ant 4 missing vert 0.0
Step 19/200 best energy 905.0986000000031 ant 24 missing vert 0.0
Step 20/200 best energy 798.9694000000023 ant 9 missing vert 0.0
Step 21/200 best energy 810.2112000000023 ant 14 missing vert 0.0
Step 22/200 best energy 902.9702000000028 ant 16 missing vert 0.0
Step 23/200 best energy 896.9686000000017 ant 9 missing vert 0.0
Step 24/200 best energy 961.3044000000025 ant 28 missing vert 0.0
Step 25/200 best energy 739.7552000000012 ant 3 missing vert 0.0
Step 26/200 best energy 710.0392000000011 ant 6 missing vert 0.0
Step 27/200 best energy 887.8094000000037 ant 1 missing vert 0.0
Step 28/200 best energy 852.7402000000031 ant 31 missing vert 0.0
Step 29/200 best energy 770.1672000000015 ant 2 missing vert 0.0
Step 30/200 best energy 817.7420000000018 ant 31 missing vert 0.0
Step 31/200 best energy 840.6184000000022 ant 8 missing vert 0.0
Step 32/200 best energy 736.8064000000015 ant 14 missing vert 0.0
Step 33/200 best energy 646.3260000000009 ant 20 missing vert 0.0
Step 34/200 best energy 820.8400000000015 ant 26 missing vert 0.0
Step 35/200 best energy 729.6636000000011 ant 3 missing vert 0.0
Step 36/200 best energy 719.6550000000015 ant 31 missing vert 0.0
Step 37/200 best energy 847.9952000000028 ant 21 missing vert 0.0
Step 38/200 best energy 812.6938000000014 ant 5 missing vert 0.0
Step 39/200 best energy 695.3800000000012 ant 11 missing vert 0.0
Step 40/200 best energy 746.5948000000014 ant 11 missing vert 0.0
Step 41/200 best energy 682.1694000000001 ant 14 missing vert 0.0
Step 42/200 best energy 729.8200000000011 ant 12 missing vert 0.0
Step 43/200 best energy 717.4708000000015 ant 31 missing vert 0.0
Step 44/200 best energy 782.8810000000014 ant 29 missing vert 0.0
Step 45/200 best energy 768.394400000002 ant 10 missing vert 0.0
Step 46/200 best energy 745.7996000000012 ant 13 missing vert 0.0
Step 47/200 best energy 799.7364000000019 ant 9 missing vert 0.0
Step 48/200 best energy 628.7108000000003 ant 7 missing vert 0.0
Step 49/200 best energy 803.0594000000032 ant 27 missing vert 0.0
Step 50/200 best energy 689.5486000000012 ant 18 missing vert 0.0
Step 51/200 best energy 745.3358000000017 ant 15 missing vert 0.0
Step 52/200 best energy 768.0726000000021 ant 28 missing vert 0.0
Step 53/200 best energy 765.5828000000017 ant 23 missing vert 0.0
Step 54/200 best energy 696.0712000000012 ant 29 missing vert 0.0
