Reading in data from ../common/square.input
Number of particles: 225
Number of vertices: 4
xmin -7.5 xmax 7.5
ymin -7.5 ymax 7.5
Found 225 particles with maximum number of 4 vertices
Created simulation cell 15.0 by 15.0


Starting ACO with 32 ants 8 threads  alpha=1.0 beta=2.0 evap=0.9
Step 1/10000 best energy 6146.0 ant 27 missing vert 0.0
Step 2/10000 best energy 2700.0 ant 9 missing vert 0.0
Step 3/10000 best energy 1857.0 ant 4 missing vert 0.0
Step 4/10000 best energy 1499.0 ant 19 missing vert 0.0
Step 5/10000 best energy 1356.0 ant 13 missing vert 0.0
Step 6/10000 best energy 1150.0 ant 30 missing vert 0.0
Step 7/10000 best energy 1072.0 ant 29 missing vert 0.0
Step 8/10000 best energy 1069.0 ant 0 missing vert 0.0
Step 9/10000 best energy 966.0 ant 29 missing vert 0.0
Step 10/10000 best energy 922.0 ant 26 missing vert 0.0
Step 11/10000 best energy 997.0 ant 17 missing vert 0.0
Step 12/10000 best energy 882.0 ant 31 missing vert 0.0
Step 13/10000 best energy 933.0 ant 31 missing vert 0.0
Step 14/10000 best energy 837.0 ant 2 missing vert 0.0
Step 15/10000 best energy 803.0 ant 1 missing vert 0.0
Step 16/10000 best energy 831.0 ant 4 missing vert 0.0
Step 17/10000 best energy 750.0 ant 29 missing vert 0.0
Step 18/10000 best energy 816.0 ant 21 missing vert 0.0
Step 19/10000 best energy 712.0 ant 15 missing vert 0.0
Step 20/10000 best energy 801.0 ant 14 missing vert 0.0
Step 21/10000 best energy 745.0 ant 25 missing vert 0.0
Step 22/10000 best energy 733.0 ant 15 missing vert 0.0
Step 23/10000 best energy 761.0 ant 18 missing vert 0.0
Step 24/10000 best energy 828.0 ant 9 missing vert 0.0
Step 25/10000 best energy 730.0 ant 25 missing vert 0.0
Step 26/10000 best energy 786.0 ant 25 missing vert 0.0
Step 27/10000 best energy 778.0 ant 9 missing vert 0.0
Step 28/10000 best energy 704.0 ant 23 missing vert 0.0
Step 29/10000 best energy 741.0 ant 10 missing vert 0.0
Step 30/10000 best energy 715.0 ant 23 missing vert 0.0
Step 31/10000 best energy 769.0 ant 5 missing vert 0.0
Step 32/10000 best energy 699.0 ant 8 missing vert 0.0
Step 33/10000 best energy 778.0 ant 27 missing vert 0.0
Step 34/10000 best energy 680.0 ant 28 missing vert 0.0
Step 35/10000 best energy 730.0 ant 12 missing vert 0.0
Step 36/10000 best energy 716.0 ant 10 missing vert 0.0
Step 37/10000 best energy 661.0 ant 13 missing vert 0.0
Step 38/10000 best energy 664.0 ant 8 missing vert 0.0
Step 39/10000 best energy 730.0 ant 15 missing vert 0.0
Step 40/10000 best energy 740.0 ant 8 missing vert 0.0
Step 41/10000 best energy 672.0 ant 25 missing vert 0.0
Step 42/10000 best energy 685.0 ant 11 missing vert 0.0
Step 43/10000 best energy 687.0 ant 12 missing vert 0.0
Step 44/10000 best energy 705.0 ant 7 missing vert 0.0
Step 45/10000 best energy 738.0 ant 10 missing vert 0.0
Step 46/10000 best energy 757.0 ant 5 missing vert 0.0
Step 47/10000 best energy 688.0 ant 3 missing vert 0.0
Step 48/10000 best energy 735.0 ant 30 missing vert 0.0
Step 49/10000 best energy 681.0 ant 13 missing vert 0.0
Step 50/10000 best energy 682.0 ant 18 missing vert 0.0
Step 51/10000 best energy 677.0 ant 20 missing vert 0.0
Step 52/10000 best energy 719.0 ant 3 missing vert 0.0
Step 53/10000 best energy 701.0 ant 30 missing vert 0.0
Step 54/10000 best energy 657.0 ant 18 missing vert 0.0
Step 55/10000 best energy 684.0 ant 10 missing vert 0.0
Step 56/10000 best energy 677.0 ant 13 missing vert 0.0
Step 57/10000 best energy 721.0 ant 31 missing vert 0.0
Step 58/10000 best energy 700.0 ant 19 missing vert 0.0
Step 59/10000 best energy 681.0 ant 29 missing vert 0.0
Step 60/10000 best energy 645.0 ant 25 missing vert 0.0
Step 61/10000 best energy 684.0 ant 27 missing vert 0.0
Step 62/10000 best energy 703.0 ant 20 missing vert 0.0
Step 63/10000 best energy 687.0 ant 13 missing vert 0.0
Step 64/10000 best energy 646.0 ant 8 missing vert 0.0
Step 65/10000 best energy 666.0 ant 1 missing vert 0.0
Step 66/10000 best energy 676.0 ant 25 missing vert 0.0
Step 67/10000 best energy 643.0 ant 10 missing vert 0.0
Step 68/10000 best energy 710.0 ant 1 missing vert 0.0
