Reading in data from ../common/square.input
Number of particles: 225
Number of vertices: 4
xmin -7.5 xmax 7.5
ymin -7.5 ymax 7.5
Found 225 particles with maximum number of 4 vertices
Created simulation cell 15.0 by 15.0


Starting ACO with 32 ants 8 threads  alpha=1.0 beta=2.0 evap=0.9
Step 1/1000 best energy 5922.0 ant 24 missing vert 0.0
Step 2/1000 best energy 5382.0 ant 28 missing vert 0.0
Step 3/1000 best energy 5118.0 ant 22 missing vert 0.0
Step 4/1000 best energy 4993.0 ant 13 missing vert 0.0
Step 5/1000 best energy 4019.0 ant 24 missing vert 0.0
Step 6/1000 best energy 4346.0 ant 25 missing vert 0.0
Step 7/1000 best energy 3737.0 ant 24 missing vert 0.0
Step 8/1000 best energy 3633.0 ant 21 missing vert 0.0
Step 9/1000 best energy 3399.0 ant 14 missing vert 0.0
Step 10/1000 best energy 3002.0 ant 27 missing vert 0.0
Step 11/1000 best energy 2772.0 ant 17 missing vert 0.0
Step 12/1000 best energy 2686.0 ant 8 missing vert 0.0
Step 13/1000 best energy 2691.0 ant 29 missing vert 0.0
Step 14/1000 best energy 2396.0 ant 6 missing vert 0.0
Step 15/1000 best energy 2307.0 ant 21 missing vert 0.0
Step 16/1000 best energy 2008.0 ant 3 missing vert 0.0
Step 17/1000 best energy 2061.0 ant 20 missing vert 0.0
Step 18/1000 best energy 1847.0 ant 22 missing vert 0.0
Step 19/1000 best energy 1695.0 ant 18 missing vert 0.0
Step 20/1000 best energy 1645.0 ant 18 missing vert 0.0
Step 21/1000 best energy 1615.0 ant 27 missing vert 0.0
Step 22/1000 best energy 1477.0 ant 7 missing vert 0.0
Step 23/1000 best energy 1564.0 ant 16 missing vert 0.0
Step 24/1000 best energy 1418.0 ant 21 missing vert 0.0
Step 25/1000 best energy 1308.0 ant 21 missing vert 0.0
Step 26/1000 best energy 1386.0 ant 7 missing vert 0.0
Step 27/1000 best energy 1270.0 ant 7 missing vert 0.0
Step 28/1000 best energy 1137.0 ant 5 missing vert 0.0
Step 29/1000 best energy 1267.0 ant 21 missing vert 0.0
Step 30/1000 best energy 1109.0 ant 8 missing vert 0.0
Step 31/1000 best energy 1178.0 ant 5 missing vert 0.0
Step 32/1000 best energy 1146.0 ant 11 missing vert 0.0
Step 33/1000 best energy 1091.0 ant 29 missing vert 0.0
Step 34/1000 best energy 973.0 ant 6 missing vert 0.0
Step 35/1000 best energy 1021.0 ant 8 missing vert 0.0
Step 36/1000 best energy 1020.0 ant 13 missing vert 0.0
Step 37/1000 best energy 1018.0 ant 4 missing vert 0.0
Step 38/1000 best energy 1010.0 ant 17 missing vert 0.0
Step 39/1000 best energy 1006.0 ant 9 missing vert 0.0
Step 40/1000 best energy 917.0 ant 13 missing vert 0.0
Step 41/1000 best energy 859.0 ant 4 missing vert 0.0
Step 42/1000 best energy 871.0 ant 21 missing vert 0.0
Step 43/1000 best energy 915.0 ant 6 missing vert 0.0
Step 44/1000 best energy 824.0 ant 15 missing vert 0.0
Step 45/1000 best energy 822.0 ant 31 missing vert 0.0
Step 46/1000 best energy 866.0 ant 10 missing vert 0.0
Step 47/1000 best energy 903.0 ant 26 missing vert 0.0
Step 48/1000 best energy 918.0 ant 0 missing vert 0.0
Step 49/1000 best energy 829.0 ant 11 missing vert 0.0
Step 50/1000 best energy 845.0 ant 15 missing vert 0.0
Step 51/1000 best energy 877.0 ant 10 missing vert 0.0
Step 52/1000 best energy 890.0 ant 27 missing vert 0.0
Step 53/1000 best energy 825.0 ant 11 missing vert 0.0
Step 54/1000 best energy 805.0 ant 12 missing vert 0.0
Step 55/1000 best energy 842.0 ant 12 missing vert 0.0
Step 56/1000 best energy 755.0 ant 29 missing vert 0.0
Step 57/1000 best energy 802.0 ant 0 missing vert 0.0
Step 58/1000 best energy 844.0 ant 11 missing vert 0.0
Step 59/1000 best energy 743.0 ant 13 missing vert 0.0
Step 60/1000 best energy 799.0 ant 3 missing vert 0.0
Step 61/1000 best energy 756.0 ant 29 missing vert 0.0
Step 62/1000 best energy 753.0 ant 24 missing vert 0.0
Step 63/1000 best energy 895.0 ant 31 missing vert 0.0
Step 64/1000 best energy 863.0 ant 3 missing vert 0.0
Step 65/1000 best energy 864.0 ant 11 missing vert 0.0
Step 66/1000 best energy 803.0 ant 3 missing vert 0.0
Step 67/1000 best energy 818.0 ant 21 missing vert 0.0
Step 68/1000 best energy 740.0 ant 2 missing vert 0.0
Step 69/1000 best energy 780.0 ant 17 missing vert 0.0
Step 70/1000 best energy 837.0 ant 8 missing vert 0.0
Step 71/1000 best energy 744.0 ant 18 missing vert 0.0
Step 72/1000 best energy 818.0 ant 14 missing vert 0.0
Step 73/1000 best energy 834.0 ant 31 missing vert 0.0
Step 74/1000 best energy 746.0 ant 30 missing vert 0.0
Step 75/1000 best energy 785.0 ant 22 missing vert 0.0
Step 76/1000 best energy 791.0 ant 16 missing vert 0.0
Step 77/1000 best energy 798.0 ant 26 missing vert 0.0
Step 78/1000 best energy 677.0 ant 24 missing vert 0.0
Step 79/1000 best energy 791.0 ant 8 missing vert 0.0
Step 80/1000 best energy 750.0 ant 28 missing vert 0.0
Step 81/1000 best energy 775.0 ant 9 missing vert 0.0
Step 82/1000 best energy 809.0 ant 8 missing vert 0.0
Step 83/1000 best energy 754.0 ant 2 missing vert 0.0
Step 84/1000 best energy 781.0 ant 0 missing vert 0.0
Step 85/1000 best energy 784.0 ant 28 missing vert 0.0
Step 86/1000 best energy 815.0 ant 23 missing vert 0.0
Step 87/1000 best energy 681.0 ant 22 missing vert 0.0
Step 88/1000 best energy 754.0 ant 14 missing vert 0.0
Step 89/1000 best energy 743.0 ant 6 missing vert 0.0
Step 90/1000 best energy 763.0 ant 29 missing vert 0.0
Step 91/1000 best energy 811.0 ant 23 missing vert 0.0
Step 92/1000 best energy 751.0 ant 0 missing vert 0.0
Step 93/1000 best energy 812.0 ant 15 missing vert 0.0
Step 94/1000 best energy 722.0 ant 26 missing vert 0.0
Step 95/1000 best energy 748.0 ant 3 missing vert 0.0
Step 96/1000 best energy 795.0 ant 25 missing vert 0.0
Step 97/1000 best energy 643.0 ant 2 missing vert 0.0
Step 98/1000 best energy 753.0 ant 14 missing vert 0.0
Step 99/1000 best energy 737.0 ant 4 missing vert 0.0
Step 100/1000 best energy 824.0 ant 11 missing vert 0.0
Step 101/1000 best energy 723.0 ant 5 missing vert 0.0
Step 102/1000 best energy 724.0 ant 11 missing vert 0.0
Step 103/1000 best energy 781.0 ant 31 missing vert 0.0
Step 104/1000 best energy 773.0 ant 14 missing vert 0.0
Step 105/1000 best energy 740.0 ant 0 missing vert 0.0
Step 106/1000 best energy 676.0 ant 12 missing vert 0.0
Step 107/1000 best energy 699.0 ant 19 missing vert 0.0
Step 108/1000 best energy 704.0 ant 27 missing vert 0.0
Step 109/1000 best energy 704.0 ant 25 missing vert 0.0
Step 110/1000 best energy 680.0 ant 20 missing vert 0.0
Step 111/1000 best energy 746.0 ant 16 missing vert 0.0
Step 112/1000 best energy 751.0 ant 19 missing vert 0.0
Step 113/1000 best energy 753.0 ant 27 missing vert 0.0
Step 114/1000 best energy 728.0 ant 27 missing vert 0.0
Step 115/1000 best energy 673.0 ant 12 missing vert 0.0
Step 116/1000 best energy 701.0 ant 0 missing vert 0.0
Step 117/1000 best energy 721.0 ant 2 missing vert 0.0
Step 118/1000 best energy 775.0 ant 8 missing vert 0.0
Step 119/1000 best energy 647.0 ant 5 missing vert 0.0
Step 120/1000 best energy 739.0 ant 26 missing vert 0.0
Step 121/1000 best energy 724.0 ant 30 missing vert 0.0
Step 122/1000 best energy 746.0 ant 12 missing vert 0.0
Step 123/1000 best energy 702.0 ant 27 missing vert 0.0
Step 124/1000 best energy 754.0 ant 27 missing vert 0.0
Step 125/1000 best energy 709.0 ant 19 missing vert 0.0
Step 126/1000 best energy 732.0 ant 0 missing vert 0.0
Step 127/1000 best energy 726.0 ant 26 missing vert 0.0
Step 128/1000 best energy 723.0 ant 26 missing vert 0.0
Step 129/1000 best energy 699.0 ant 19 missing vert 0.0
Step 130/1000 best energy 766.0 ant 9 missing vert 0.0
Step 131/1000 best energy 725.0 ant 3 missing vert 0.0
Step 132/1000 best energy 746.0 ant 2 missing vert 0.0
Step 133/1000 best energy 749.0 ant 2 missing vert 0.0
Step 134/1000 best energy 696.0 ant 9 missing vert 0.0
Step 135/1000 best energy 699.0 ant 7 missing vert 0.0
Step 136/1000 best energy 720.0 ant 12 missing vert 0.0
Step 137/1000 best energy 735.0 ant 6 missing vert 0.0
Step 138/1000 best energy 700.0 ant 8 missing vert 0.0
Step 139/1000 best energy 715.0 ant 4 missing vert 0.0
Step 140/1000 best energy 679.0 ant 13 missing vert 0.0
Step 141/1000 best energy 692.0 ant 29 missing vert 0.0
Step 142/1000 best energy 635.0 ant 29 missing vert 0.0
Step 143/1000 best energy 769.0 ant 8 missing vert 0.0
Step 144/1000 best energy 773.0 ant 19 missing vert 0.0
Step 145/1000 best energy 698.0 ant 19 missing vert 0.0
Step 146/1000 best energy 700.0 ant 28 missing vert 0.0
Step 147/1000 best energy 634.0 ant 3 missing vert 0.0
Step 148/1000 best energy 727.0 ant 13 missing vert 0.0
Step 149/1000 best energy 656.0 ant 3 missing vert 0.0
Step 150/1000 best energy 760.0 ant 23 missing vert 0.0
Step 151/1000 best energy 685.0 ant 8 missing vert 0.0
Step 152/1000 best energy 657.0 ant 7 missing vert 0.0
Step 153/1000 best energy 722.0 ant 22 missing vert 0.0
